New Year's Day;Neujahr
Epiphany;Heiligen Drei K̦nige
Palm Sunday;Palmsonntag
Good Friday;Karfreitag
Easter Sunday;Ostersonntag
Labor Day / May Day;Feiertag
Ascension Day;Christi Himmelfahrt
Whit Sunday;Pfingstsonntag
Whit Monday;Pfingstmontag
Assumption of Mary;Maria Himmelfahrt
National Day;Nationalfeiertag
Reformation Day;Reformationstag
All Saints' Day;Allerheiligen
All Souls' Day;Allerseelen
First Advent Sunday;Erster Advent Sonntag
Christmas Eve;Weihnachten
Christmas Day;Erster Weihnachtsfeiertag
St. Stephen's Day;Stefanitag
New Year's Eve;Silvester

